time,thrust
0,20.2086
0.1,55.5246
0.202,748.2087
0.301,1697.6205
0.403,1895.1939
0.502,1894.6053
0.604,1900.6875
0.703,1891.2699
0.805,1884.9915
0.905,1908.5355
1.007,1949.0508
1.105,1993.2939
1.207,2009.9709
1.306,2004.4773
1.408,2025.2745
1.507,2082.7611
1.609,2105.7165
1.709,2081.1915
1.811,2096.0046
1.91,2155.257
2.012,2254.338
2.111,2332.0332
2.213,2355.1848
2.312,2380.2984
2.414,2389.8141
2.514,2365.2891
2.616,2344.6881
2.714,2341.647
2.816,2327.8149
2.915,2319.2802
3.017,2304.369
3.116,2294.2647
3.218,2264.148
3.318,2223.8289
3.42,2181.4497
3.518,2155.3551
3.62,2113.8588
3.719,2082.1725
3.821,2043.6192
3.921,2031.7491
4.023,2024.8821
4.122,2011.1481
4.224,2019.2904
4.323,2012.2272
4.425,2013.6987
4.524,2015.8569
4.626,1989.3699
4.725,1983.9744
4.827,1964.3544
4.927,1958.076
5.029,1955.0349
5.127,1954.9368
5.229,1961.019
5.328,1945.6173
5.43,1896.0768
5.53,1884.501
5.631,1889.0136
5.731,1887.6402
5.833,1877.5359
5.932,1877.1435
6.034,1878.9093
6.133,1864.1943
6.235,1841.6313
6.334,1832.0175
6.436,1835.0586
6.536,1830.1536
6.638,1832.3118
6.736,1822.5999
6.838,1796.211
6.937,1789.6383
7.039,1801.6065
7.139,1811.4165
7.241,1817.9892
7.34,1824.5619
7.442,1821.8151
7.541,1817.2044
7.643,1803.1761
7.742,1775.0214
7.844,1755.4995
7.943,1735.2909
8.045,1668.5829
8.145,1608.84
8.247,1601.973
8.345,1588.9257
8.447,1591.0839
8.546,1621.1025
8.648,1615.2165
8.748,1596.2832
8.849,1582.1568
8.949,1579.8024
9.051,1572.4449
9.15,1557.2394
9.252,1527.2208
9.351,1496.3193
9.453,1495.9269
9.552,1511.6229
9.654,1497.4965
9.754,1459.9242
9.856,1411.5609
9.954,1278.5373
10.056,1029.069
10.156,825.9039
10.257,736.731
10.357,722.4084
10.459,691.3107
10.558,651.0897
10.661,623.4255
10.759,612.8307
10.861,597.1347
10.96,567.9009
11.062,576.1413
11.161,557.208
11.263,523.854
11.363,495.9936
11.465,476.2755
11.563,484.8102
11.665,468.7218
11.765,468.4275
11.866,435.0735
11.966,412.2162
12.068,361.5966
12.167,357.2802
12.27,358.1631
12.368,341.9766
12.47,318.3345
12.569,307.4454
12.671,274.5819
12.77,237.3039
12.872,210.7188
12.972,238.9716
13.074,265.0662
13.173,262.2213
13.274,242.1108
13.374,231.4179
13.476,230.535
13.575,225.0414
13.677,202.3803
13.776,191.5893
13.879,179.0325
13.977,162.5517
14.079,151.4664
14.178,159.4125
14.28,152.1531
14.379,147.4443
14.481,165.2004
14.581,170.9883
14.683,140.9697
14.782,143.226
14.884,134.8875
14.983,155.0961
15.085,150.2892
15.184,141.0678
15.286,121.644
15.386,110.853
15.488,101.5335
15.586,105.7518
15.688,104.4765
15.787,114.0903
15.889,108.0081
15.988,92.3121
16.09,103.986
16.19,100.1601
16.292,98.8848
16.391,108.0081
16.493,107.91
16.592,102.9069
16.694,109.872
16.793,95.4513
16.895,93.9798
16.995,84.1698
17.097,79.7553
17.195,86.2299
17.297,82.3059
17.396,79.3629
17.498,77.2047
17.597,84.366
17.699,100.1601
17.799,89.5653
17.901,69.0624
18,69.2586
18.102,77.499
18.201,87.0147
18.303,94.8627
18.402,93.195
18.504,90.5463
18.604,83.4831
18.706,76.518
18.804,71.1225
18.906,65.9232
19.005,61.9992
19.107,55.1322
19.206,58.6638
19.308,65.5308
19.408,65.4327
19.51,87.0147
19.609,92.9007
19.711,72.2016
19.81,78.3819
19.912,72.6921
20.011,81.423
20.113,80.9325
20.213,75.3408
20.315,87.7995
20.413,82.6983
20.515,80.0496
20.614,82.2078
20.716,81.3249
20.815,80.9325
20.917,85.1508
21.017,85.7394
21.119,82.1097
21.218,80.3439
21.32,81.0306
21.419,82.5021
21.521,83.7774
21.62,86.9166
